well,growth_rate,intercept,time_fit_start,time_fit end
A1,1.19229623687,-11.1496858239,6.04444,8.12222
A2,1.23610699822,-11.4915435847,6.04444,8.12222
A3,1.21326175622,-11.3722566489,5.85556,8.12222
A4,1.22840134239,-12.3589580665,5.28889,8.68889
A5,1.26772157247,-12.2609368768,5.47778,8.5
A6,1.14440884988,-11.9596001315,6.23333,9.25556
A7,0.853937288225,-11.680074508,7.55556,11.33333
A8,1.16724484214,-11.806422856,6.23333,8.87778
B1,1.01019939631,-11.9501376592,7.93333,10.01111
B2,1.05050033284,-12.2092331832,7.55556,10.01111
B3,0.987544269461,-11.9960553713,7.55556,10.38889
B4,0.690677664803,-11.7407143591,10.95556,14.16667
B5,0.666804105078,-11.6282068569,11.33333,14.54444
B6,1.05268188424,-12.252872372,6.98889,10.2
B7,0.631405017393,-11.3258653143,11.52222,14.73333
B8,0.94663679167,-12.1844548883,9.25556,11.14444
C1,0.678179167476,-11.8534315079,11.52222,14.92222
C2,0.488295763538,-11.4733703704,14.73333,19.45556
C3,1.18612536356,-11.9757340687,6.61111,8.87778
C4,0.544480283285,-10.8276568704,12.08889,16.62222
C5,0.0336987980635,-6.53776496553,2.64444,16.43333
C6,1.19185160613,-11.7831219412,5.85556,8.68889
C7,0.446318875312,-11.4227935842,16.43333,21.34444
C8,0.0115728072556,-5.94825438338,0.0,23.799999999999997
D1,0.597547648828,-11.0367525381,12.27778,15.48889
D2,0.518517296468,-11.0015875083,13.78889,17.75556
D3,0.0123305871107,-5.74759222301,6.61111,17.56667
D4,0.4348186683,-10.4812599049,11.71111,19.07778
D5,0.455395827237,-11.8851623062,17.75556,22.1
D6,0.00124008467898,-4.14121076812,6.23333,20.58889
D7,0.869119518715,-12.2709688747,8.87778,12.08889
D8,0.0026284700138,-4.96921581526,2.64444,20.4
E1,0.0535113780031,-5.83761077645,0.0,23.799999999999997
E2,0.00938979898861,-6.00354104906,4.53333,18.32222
E3,0.00989851421695,-4.32537586201,7.55556,17.56667
E4,0.00876930188478,-4.34018207306,5.66667,23.799999999999997
E5,0.534259560042,-10.7552982471,11.9,16.43333
E6,0.0108974843006,-5.50584435382,3.58889,17.75556
E7,0.00500461882423,-6.32971811928,7.55556,20.21111
E8,0.0296237369803,-6.09269068648,0.0,23.9875
F1,0.0759092193682,-5.63973679079,0.0,23.9875
F2,0.0591523389796,-5.83158715301,0.0,23.9875
F3,0.67931540226,-11.2798414908,10.38889,13.97778
F4,0.00360151007073,-4.01071763615,9.06667,18.7
F5,-0.000581932238835,-4.29451976533,4.53333,23.799999999999997
F6,-0.000667988180374,-4.37540796571,5.28889,23.799999999999997
F7,0.00454980604168,-5.91636145358,0.0,23.9875
F8,-0.0606408271004,-5.04687040041,0.0,23.9875
