well,growth_rate,intercept,time_fit_start,time_fit end
A1,1.24138371378,-18.8690291032,10.83,14.44
A2,0.981148699669,-14.1181060007,9.025,13.43722
A3,1.22366025607,-8.00443332289,2.40667,5.415
A4,0.896587664363,-8.45888459209,4.21167,8.42333
B1,0.184660414405,-6.24896399367,0.0,23.873333333333335
B2,0.941794023295,-15.4016502723,11.63222,15.64333
B3,1.24841873732,-7.98488054128,2.60722,5.61556
B4,0.867427846309,-8.60574901843,3.81056,8.82444
C1,0.265303454991,-6.71578947465,3.00833,18.05
C2,0.946537238128,-13.4841273063,9.42611,13.43722
C3,1.61362646216,-9.56941876084,2.60722,4.81333
C4,0.89441112019,-9.25672965518,2.60722,9.22556
