well,growth_rate,intercept,time_fit_start,time_fit end
A1,1.09336729751,-4.87169462522,0.37889,2.84167
A2,1.17005174411,-5.04454846363,0.37889,2.84167
A3,1.05989017202,-4.81169762055,0.56833,2.84167
A4,1.02100936947,-5.04735982904,0.37889,3.22056
A5,1.09785843799,-5.3214049779,0.37889,3.03111
A6,1.15001881438,-5.26243891539,0.37889,2.84167
A7,1.20656762373,-5.81843824417,0.37889,3.22056
A8,0.62560274115,-3.9719443214,1.705,3.59944
B1,1.12061449387,-5.34096298431,0.56833,3.22056
B2,1.29673391602,-5.72734976627,0.37889,3.03111
B3,1.35631126138,-5.87231046353,0.37889,2.84167
B4,1.24916563297,-5.70110158529,0.37889,3.03111
B5,0.672065064822,-4.51006041958,0.75778,3.97833
B6,1.10413572245,-5.96714899845,0.37889,3.59944
B7,0.959004575469,-5.44031904669,0.75778,3.59944
B8,0.271481539503,-3.30352032623,2.65222,6.06222
C1,1.06555902584,-5.70128979262,0.56833,3.59944
C2,1.15783279378,-6.11140665248,0.37889,3.59944
C3,1.10513349103,-6.94830479718,0.37889,3.03111
C4,0.943449074594,-6.75262462688,0.37889,3.78889
C5,0.547584815243,-5.35686292647,2.84167,6.82
C6,0.569113662977,-5.01317358491,3.22056,5.68333
C7,0.428606150264,-4.37813545751,2.46278,5.68333
C8,0.470632101347,-4.91239455648,4.35722,5.87278
D1,0.836904606391,-6.13111200862,0.37889,4.92556
D2,0.929881591658,-6.31602933348,0.37889,4.16778
D3,0.768072540844,-5.91861823402,0.37889,4.54667
D4,0.703717301013,-6.48960915807,1.89444,6.06222
D5,0.602623500123,-5.83101641152,3.78889,6.82
D6,0.605215827584,-6.1324049286,4.54667,6.82
D7,0.272843411802,-4.51302075479,5.68333,8.14611
D8,0.445908200165,-6.18028494432,2.65222,7.95667
E1,0.643306821924,-6.3875814552,0.37889,5.30444
E2,0.739636627484,-6.88142705094,0.37889,5.30444
E3,0.756875953104,-7.05038636261,0.37889,6.25167
E4,0.602687454538,-6.54706331761,2.27333,7.76722
E5,0.408509217718,-5.62259166985,6.25167,9.66167
E6,0.328246534057,-5.10086526397,5.115,9.85111
E7,0.453112035579,-7.91166772465,8.14611,11.55611
E8,0.389623073295,-7.05896723985,9.47222,11.935
F1,0.399835393862,-6.19948906228,6.06222,11.17722
F2,0.869657522426,-8.35858877122,2.08389,4.92556
F3,0.476792467391,-7.71562684991,3.59944,8.71444
F4,0.654919257714,-8.05242845479,4.16778,7.19889
F5,0.599002944239,-8.71807405411,7.76722,9.66167
F6,0.0168406991675,-3.90457675297,0.0,23.8891666667
F7,-0.0517991924267,-3.49590707561,0.0,23.8891666667
F8,0.0240066509172,-4.1182335826,0.0,23.8891666667
