well,growth_rate,intercept,time_fit_start,time_fit end
A1,0.561274468975,-9.9946857809,11.66,15.18
A2,0.67553646501,-11.7002727587,12.1,14.52
A3,0.62661011683,-10.8057294269,11.66,14.52
A4,0.618739116797,-10.9195777812,11.44,15.18
A5,0.589657788759,-10.4367134733,11.66,15.18
A6,0.674611595121,-11.7584003222,12.32,14.96
B1,0.592851510985,-10.8386516974,12.32,15.62
B2,0.583683796337,-10.6192022189,11.88,15.62
B3,0.581170483947,-10.4198583169,12.1,15.18
B4,0.607167674307,-11.1108481817,12.32,15.62
B5,0.635681877509,-11.3460041137,11.88,15.18
B6,0.577785526093,-10.556898464,12.1,15.18
C1,0.538487702776,-10.740693647,12.98,16.72
C2,0.563738994609,-10.9732770878,12.98,16.5
C3,0.562011776217,-10.9208469308,13.42,16.5
C4,0.530777212151,-10.5551495064,13.2,16.72
C5,0.501083644064,-10.1080701544,14.08,17.16
C6,0.475026281695,-9.52128016847,13.42,16.94
D1,0.468114757131,-10.0589321074,15.62,17.82
D2,0.417273275956,-9.01016772746,14.96,17.82
D3,0.439112599873,-9.60070480891,14.96,18.04
D4,0.481545558577,-10.2980793952,14.96,17.82
D5,0.46059817671,-10.2596129558,15.4,18.92
D6,0.476922328881,-10.3981082217,15.4,18.26
