well,growth_rate,intercept,time_fit_start,time_fit end
A1,0.994298347093,-6.03877620333,1.75778,5.27333
A2,1.10437597437,-6.4910429374,1.31833,5.05361
A3,1.10198931121,-5.85792177597,1.31833,4.61417
A4,0.869775652197,-6.56862188002,1.31833,5.49306
A5,0.694827033535,-6.36902945973,1.31833,5.49306
A6,0.718155816623,-6.23113715208,1.53806,5.05361
B1,0.58010011667,-5.87943982554,1.75778,6.37194
B2,0.683710759742,-6.17167131847,1.53806,5.49306
B3,0.617937807742,-6.20920764281,1.9775,6.15222
B4,0.572716185793,-6.29300455321,1.75778,7.69028
B5,0.62824801684,-6.3928884856,1.75778,6.15222
B6,0.606244084013,-6.40857281207,1.53806,6.15222
C1,0.468148382287,-6.39255979447,1.9775,7.25083
C2,0.464945834325,-6.40118982267,1.75778,7.03111
C3,0.483644307334,-6.31689202239,1.53806,6.59167
C4,0.449816816513,-5.99512034511,2.63667,6.37194
C5,0.480357741573,-6.0794881958,1.9775,6.59167
C6,0.541308637874,-6.33550650895,1.75778,6.37194
D1,0.335055185099,-6.042076053,1.53806,7.47056
D2,0.383296201505,-6.51704646442,1.75778,6.37194
D3,0.282697940059,-5.80956020045,1.09861,6.81139
D4,0.368744390918,-6.31521159653,4.39444,9.66778
D5,0.260162161807,-6.02134593675,2.19722,8.78889
D6,0.274066792819,-5.84294105749,2.19722,7.91
